"Start","Stop","Length","Frame"
105469,105912,444,1
188044,188382,339,1
195007,195408,402,1
291364,291765,402,1
304519,304824,306,1
400648,400977,330,1
428851,429150,300,1
437596,437895,300,1
443854,444180,327,1
454384,454737,354,1
463378,463683,306,1
479374,479685,312,1
486154,486483,330,1
523426,523824,399,1
530620,530988,369,1
543664,543972,309,1
583918,584616,699,1
593917,594258,342,1
604126,604488,363,1
650191,650499,309,1
664624,664938,315,1
677407,677991,585,1
721795,722595,801,1
816184,816588,405,1
820822,821250,429,1
824776,825105,330,1
832390,832713,324,1
851572,851961,390,1
872479,872871,393,1
876175,876810,636,1
908956,909390,435,1
915184,915522,339,1
919684,920214,531,1
973837,974184,348,1
976348,976662,315,1
1100320,1100619,300,1
1201294,1201650,357,1
1237696,1238139,444,1
1266016,1266429,414,1
1268392,1268898,507,1
1282012,1282311,300,1
1331833,1332147,315,1
1413646,1414149,504,1
1438444,1438881,438,1
1450447,1450887,441,1
1515622,1515924,303,1
1544380,1544730,351,1
1551409,1551867,459,1
1567225,1567617,393,1
1596934,1597362,429,1
1652482,1652892,411,1
1658989,1659402,414,1
1668904,1669233,330,1
1748485,1748844,360,1
1763497,1763799,303,1
1778716,1779015,300,1
1833880,1834185,306,1
1838083,1838463,381,1
1846699,1847109,411,1
1851895,1852446,552,1
1903981,1904337,357,1
1916767,1917072,306,1
1946572,1946967,396,1
1957240,1957668,429,1
1970716,1971075,360,1
1973662,1974312,651,1
2008687,2009082,396,1
2013040,2013555,516,1
2048725,2049084,360,1
2063125,2063688,564,1
2078833,2079180,348,1
2127454,2127909,456,1
2128198,2128497,300,1
2136007,2136312,306,1
2145739,2146164,426,1
2183440,2183769,330,1
2198461,2198844,384,1
2219608,2220039,432,1
2240209,2240646,438,1
2255872,2256180,309,1
2333323,2333706,384,1
2341186,2341491,306,1
2358208,2358525,318,1
2423341,2423697,357,1
2463877,2464203,327,1
2516893,2517321,429,1
2536972,2537271,300,1
2547967,2548308,342,1
2552662,2553765,1104,1
2598442,2598810,369,1
2626108,2626452,345,1
2633983,2634330,348,1
2699302,2699601,300,1
2709727,2710275,549,1
2724778,2725197,420,1
2760787,2761113,327,1
2762668,2763009,342,1
2778064,2778393,330,1
2779885,2780250,366,1
2808106,2808447,342,1
2860732,2861052,321,1
2863654,2863986,333,1
2888221,2888538,318,1
2894797,2895123,327,1
2937994,2938323,330,1
2943847,2944251,405,1
2952463,2952774,312,1
2962693,2963052,360,1
2965402,2965812,411,1
2984599,2985048,450,1
3010936,3011241,306,1
3022168,3022575,408,1
3026224,3026739,516,1
3056830,3057210,381,1
3097135,3097434,300,1
3105334,3105753,420,1
3111706,3112086,381,1
3121690,3122019,330,1
3143014,3143475,462,1
3144100,3144453,354,1
3156022,3156342,321,1
3180190,3180510,321,1
3186595,3187035,441,1
3194401,3194754,354,1
3196321,3196734,414,1
3201250,3201690,441,1
3222949,3223353,405,1
3326842,3327276,435,1
3327844,3328170,327,1
3391132,3391545,414,1
3501007,3501306,300,1
3508690,3508989,300,1
3527845,3528213,369,1
3539236,3539538,303,1
3543079,3543441,363,1
3543919,3544242,324,1
3559465,3559905,441,1
3569179,3569637,459,1
3593740,3594102,363,1
3630463,3630843,381,1
3650122,3650490,369,1
3662233,3662556,324,1
3663481,3663783,303,1
3664531,3664866,336,1
3671632,3671964,333,1
3711562,3711918,357,1
3766138,3766443,306,1
3770386,3770700,315,1
3813502,3813819,318,1
3830983,3831390,408,1
3841540,3841950,411,1
3961654,3961980,327,1
3979552,3979998,447,1
3998122,3998535,414,1
4034620,4034976,357,1
4125370,4125861,492,1
4143715,4144044,330,1
4165690,4166070,381,1
4168591,4168914,324,1
4202725,4203144,420,1
4204729,4205133,405,1
4214449,4214772,324,1
4215526,4215843,318,1
4225588,4225914,327,1
4235368,4235679,312,1
4259248,4259571,324,1
4273060,4273368,309,1
4294696,4295076,381,1
4298212,4298541,330,1
4308463,4308912,450,1
4312828,4313316,489,1
4351480,4351884,405,1
4373686,4374162,477,1
4419301,4420116,816,1
4420798,4421508,711,1
4450711,4451034,324,1
4470511,4470867,357,1
4486495,4487004,510,1
4494265,4494603,339,1
4519180,4519482,303,1
4524607,4524927,321,1
4567009,4567446,438,1
4568611,4569393,783,1
4574053,4574382,330,1
4580512,4580928,417,1
4593280,4593594,315,1
4598662,4598982,321,1
4599079,4599864,786,1
4600810,4601163,354,1
4603597,4603944,348,1
4649551,4650051,501,1
4652881,4653195,315,1
4661977,4662378,402,1
4684909,4685325,417,1
4689796,4690245,450,1
4724767,4725072,306,1
4758790,4759122,333,1
4775713,4776054,342,1
4786459,4786797,339,1
4806700,4807047,348,1
4861243,4861623,381,1
4916014,4916430,417,1
4943533,4943934,402,1
4946683,4947207,525,1
4951177,4951572,396,1
4953703,4954005,303,1
4961431,4961799,369,1
4993366,4993719,354,1
5006344,5006658,315,1
5049190,5049510,321,1
5057905,5058285,381,1
5078542,5078850,309,1
5083066,5083419,354,1
5091211,5091519,309,1
5101489,5101815,327,1
5104024,5104362,339,1
5110285,5110614,330,1
5134882,5135184,303,1
5163040,5163372,333,1
5218345,5218935,591,1
5220211,5220525,315,1
5226493,5226840,348,1
5238364,5238891,528,1
5248750,5249091,342,1
5250862,5251254,393,1
5294128,5294445,318,1
5302345,5302695,351,1
5319184,5319984,801,1
5361397,5361714,318,1
5380042,5380341,300,1
5387794,5388300,507,1
5391691,5391990,300,1
5408884,5409381,498,1
5409496,5409807,312,1
5410036,5410347,312,1
5442349,5442648,300,1
5445319,5445672,354,1
5465497,5465811,315,1
5475067,5475435,369,1
5482420,5482734,315,1
5487724,5488194,471,1
5553244,5553567,324,1
5569066,5569389,324,1
5569786,5570352,567,1
5571298,5571600,303,1
5585989,5586303,315,1
5587822,5588334,513,1
5614489,5614872,384,1
5624587,5625030,444,1
5628463,5628789,327,1
5635657,5636010,354,1
5646244,5646546,303,1
5676526,5676876,351,1
5682490,5682792,303,1
5683528,5684034,507,1
5687098,5687451,354,1
